Iter 1, Loss = 1.174100, Training Accuracy = 0.26562, Validation Accuracy = 0.22794
Iter 2, Loss = 1.040325, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 3, Loss = 1.021359, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 4, Loss = 1.029593, Training Accuracy = 0.56250, Validation Accuracy = 0.46324
Iter 5, Loss = 1.043545, Training Accuracy = 0.52344, Validation Accuracy = 0.46324
Iter 6, Loss = 1.054001, Training Accuracy = 0.53125, Validation Accuracy = 0.46324
Iter 7, Loss = 1.028707, Training Accuracy = 0.53125, Validation Accuracy = 0.46324
Iter 8, Loss = 1.027702, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 9, Loss = 1.035949, Training Accuracy = 0.54688, Validation Accuracy = 0.46324
Iter 10, Loss = 1.044036, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 11, Loss = 1.031994, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 12, Loss = 1.006961, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 13, Loss = 1.032351, Training Accuracy = 0.52344, Validation Accuracy = 0.46324
Iter 14, Loss = 1.013613, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 15, Loss = 1.011091, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 16, Loss = 1.001438, Training Accuracy = 0.53125, Validation Accuracy = 0.46324
Iter 17, Loss = 1.016785, Training Accuracy = 0.51562, Validation Accuracy = 0.46324
Iter 18, Loss = 1.019874, Training Accuracy = 0.50781, Validation Accuracy = 0.46324
Iter 19, Loss = 1.001650, Training Accuracy = 0.52344, Validation Accuracy = 0.46324
Iter 20, Loss = 1.010928, Training Accuracy = 0.54688, Validation Accuracy = 0.46324
Iter 21, Loss = 0.998990, Training Accuracy = 0.53906, Validation Accuracy = 0.46324
Iter 22, Loss = 0.985813, Training Accuracy = 0.53906, Validation Accuracy = 0.51838
Iter 23, Loss = 0.985096, Training Accuracy = 0.55469, Validation Accuracy = 0.52941
Iter 24, Loss = 0.972155, Training Accuracy = 0.58594, Validation Accuracy = 0.53676
Iter 25, Loss = 0.973434, Training Accuracy = 0.58594, Validation Accuracy = 0.53676
Iter 26, Loss = 0.960377, Training Accuracy = 0.56250, Validation Accuracy = 0.53309
Iter 27, Loss = 0.976243, Training Accuracy = 0.57812, Validation Accuracy = 0.52574
Iter 28, Loss = 0.938501, Training Accuracy = 0.60938, Validation Accuracy = 0.52206
Iter 29, Loss = 0.943908, Training Accuracy = 0.60156, Validation Accuracy = 0.50735
Iter 30, Loss = 0.946752, Training Accuracy = 0.61719, Validation Accuracy = 0.50735
